"filename", "language", "Dart", "comment", "blank", "total"
"c:\Dev\docdoc\lib\constants\assets.dart", "Dart", 8, 16, 8, 32
"c:\Dev\docdoc\lib\core\helpers\on_generate_route.dart", "Dart", 3, 0, 0, 3
"c:\Dev\docdoc\lib\features\home\domain\entities\doctor_speciality_entity.dart", "Dart", 23, 0, 4, 27
"c:\Dev\docdoc\lib\features\home\presentation\views\doctor_speciality_view.dart", "Dart", 10, 0, 4, 14
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\doctor_speciality_app_bar.dart", "Dart", 40, 0, 3, 43
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\doctor_speciality_view_body.dart", "Dart", 57, 0, 4, 61
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\find_nearby_doctor_card.dart", "Dart", 61, 0, 3, 64
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\find_nearby_view_body.dart", "Dart", 11, 1, 0, 12
"Total", "-", 213, 17, 26, 256
