"filename", "language", "Dart", "comment", "blank", "total"
"c:\Dev\docdoc\lib\constants\assets.dart", "Dart", 8, 16, 8, 32
"c:\Dev\docdoc\lib\core\helpers\on_generate_route.dart", "Dart", 3, 0, 1, 4
"c:\Dev\docdoc\lib\features\main\domain\entites\bottom_navigation_bar_entity.dart", "Dart", 22, 0, 4, 26
"c:\Dev\docdoc\lib\features\main\presentation\views\main_view.dart", "Dart", 40, 0, 6, 46
"c:\Dev\docdoc\lib\features\main\presentation\views\widgets\custom_bottom_navigation_bar.dart", "Dart", 91, 0, 10, 101
"c:\Dev\docdoc\lib\features\main\presentation\views\widgets\main_view_body.dart", "Dart", 10, 0, 4, 14
"c:\Dev\docdoc\lib\main.dart", "Dart", 0, 0, 1, 1
"Total", "-", 174, 16, 34, 224
