"filename", "language", "Dart", "comment", "blank", "total"
"c:\Dev\docdoc\lib\constants\assets.dart", "Dart", 4, 8, 4, 16
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\about_page_item.dart", "Dart", -2, 0, 0, -2
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\detail_doctor_page_view.dart", "Dart", 12, 0, 0, 12
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\detail_doctor_view_body.dart", "Dart", 55, 4, 7, 66
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\location_page_item.dart", "Dart", 5, 0, 1, 6
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\review_card.dart", "Dart", 81, 0, 5, 86
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\review_page_item.dart", "Dart", 35, 0, 4, 39
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\switcher_doctor_detail_container.dart", "Dart", 88, 0, 13, 101
"Total", "-", 278, 12, 34, 324
